מזהה,סוג,"מק""ט",Name,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של  המבצע,תאריך סיום של  המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה, מבצע, רגיל,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים
1491,simple,,צלחות קרטון עגולות גדולות Hip hooray חד קרן ורוד,EMOJI COLLECTION,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,394,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1492,simple,,HAPPY BIRTHDAY,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,395,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1493,simple,,דלי פופקורן גדול happy birt צבעי חד קרן ,HAPPY BIRTHDAY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5.9,,,,,,,,,,,,396,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1494,simple,,צלחות קרטון עגולות happy birthday כסף זהב ,HAPPY BIRTHDAY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,397,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1495,simple,,מפיות happy birthday כסף זהב ,HAPPY BIRTHDAY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,398,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1496,simple,,צלחות קרטון עגולות happy birthday מוטבע זהב על שחור,HAPPY BIRTHDAY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,16.9,,,,,,,,,,,,399,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1497,simple,,מפיות שחורות מוטבע עיגולים זהב ,HAPPY BIRTHDAY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,16.9,,,,,,,,,,,,400,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1498,simple,,כוסות נייר יוקרתיות סדרת הבועות,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,401,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1499,simple,,כוסות נייר יוקרתיות סדרת הבועות ירוק בהיר,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,402,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1500,simple,,כוסות נייר יוקרתיות סדרת הבועות צהוב,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,403,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1501,simple,,כוסות נייר יוקרתיות סדרת הבועות תכלת,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,404,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1502,simple,,כוסות נייר יוקרתיות סדרת הבועות קרם,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,405,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1503,simple,,כוסות נייר יוקרתיות סדרת הבועות ורוד בהיר,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,406,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1504,simple,,כוסות נייר יוקרתיות סדרת הבועות חום בהיר,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,407,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1505,simple,,כוסות נייר יוקרתיות סדרת הבועות לבן,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,408,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1506,simple,,כוסות נייר יוקרתיות סדרת הבועות שחור,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,409,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1507,simple,,כוסות נייר יוקרתיות סדרת הבועות כסף,כוסות נייר יוקרתיות סדרת הבועות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,410,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1508,simple,,כדורגל,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,411,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1509,simple,,צלחות קרטון עגולות כדורגל זהב ,כדורגל,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,412,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1510,simple,,כוסות פלסטיק כדורגל זהב ,כדורגל,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,413,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
